county,pop_2023,pop_2022,pop_2021,pop_2020,pop_2019,felExp_2023,felExp_2022,felExp_2021,felExp_2020,felExp_2019,misdExp_2023,misdExp_2022,misdExp_2021,misdExp_2020,misdExp_2019,totalExp_2023,totalExp_2022,totalExp_2021,totalExp_2020,totalExp_2019
Anderson,"57,848","57,954","59,120","59,120","58,854","$541,921 ","$330,414 ","$299,489 ","$235,856 ","$320,446 ","$99,530 ","$72,169 ","$59,724 ","$83,625 ","$88,104 ","$686,636 ","$422,371 ","$377,197 ","$369,242 ","$458,368 "
Andrews,"18,773","18,675","19,588","19,588","19,232","$192,147 ","$145,327 ","$148,775 ","$177,629 ","$117,208 ","$45,435 ","$50,086 ","$40,430 ","$35,840 ","$42,325 ","$271,944 ","$228,613 ","$217,800 ","$231,005 ","$185,526 "
Angelina,"86,354","86,554","90,669","90,669","92,353","$248,756 ","$368,012 ","$221,025 ","$230,339 ","$310,224 ","$55,002 ","$44,687 ","$20,776 ","$26,781 ","$43,537 ","$376,045 ","$499,319 ","$333,444 ","$378,059 ","$468,271 "
Aransas,"25,219","24,693","23,649","23,649","23,031","$269,188 ","$243,439 ","$139,748 ","$172,261 ","$192,957 ","$40,797 ","$51,187 ","$30,552 ","$49,742 ","$66,390 ","$350,736 ","$313,267 ","$185,538 ","$234,089 ","$277,457 "
Archer,"8,712","8,517","9,135","9,135","9,625","$36,697 ","$44,757 ","$26,947 ","$37,622 ","$25,516 ","$5,130 ","$4,082 ","$3,800 ","$8,826 ","$6,038 ","$43,896 ","$65,631 ","$32,816 ","$48,667 ","$36,681 "
Armstrong,"1,859","1,823","2,028","2,028","1,949","$2,004 ","$9,300 ","$7,375 ","$4,700 ","$5,000 ","$1,503 ",$600 ,$0 ,$600 ,"$1,700 ","$17,507 ","$10,900 ","$8,375 ","$6,300 ","$8,800 "
Atascosa,"50,320","49,657","51,233","51,233","50,276","$343,657 ","$103,080 ","$139,685 ","$236,354 ","$300,202 ","$102,772 ","$127,976 ","$107,000 ","$144,523 ","$207,245 ","$2,409,351 ","$1,088,529 ","$2,163,341 ","$423,683 ","$562,957 "
Austin,"31,331","30,485","32,344","32,344","31,724","$78,774 ","$59,140 ","$46,318 ","$50,846 ","$37,460 ","$52,221 ","$60,526 ","$73,016 ","$99,181 ","$65,681 ","$150,733 ","$139,402 ","$139,402 ","$169,777 ","$127,537 "
Bailey,"6,777","6,767","7,082","7,082","7,256","$44,660 ","$41,190 ","$47,922 ","$41,973 ","$65,166 ","$20,741 ","$24,911 ","$25,605 ","$9,675 ","$5,550 ","$81,827 ","$79,424 ","$86,762 ","$64,795 ","$101,152 "
Bandera,"22,169","21,937","23,360","23,360","22,874","$26,817 ","$40,598 ","$86,017 ","$101,974 ","$94,852 ","$2,418 ","$2,038 ","$11,200 ","$17,525 ","$12,340 ","$147,659 ","$151,278 ","$151,658 ","$127,354 ","$115,682 "
Bastrop,"107,810","104,146","90,262","90,262","88,296","$590,471 ","$487,385 ","$259,578 ","$598,781 ","$657,688 ","$190,131 ","$142,721 ","$121,312 ","$146,885 ","$229,956 ","$796,261 ","$636,156 ","$389,003 ","$758,236 ","$904,819 "
Baylor,"3,489","3,475","3,754","3,754","3,740","$29,974 ","$14,461 ","$13,955 ","$47,034 ","$50,595 ","$1,700 ","$2,250 ","$2,400 ",$300 ,$400 ,"$32,674 ","$17,711 ","$17,355 ","$48,334 ","$52,240 "
Bee,"30,360","30,613","33,571","33,571","33,039","$48,226 ","$42,701 ","$39,993 ","$38,267 ","$31,360 ","$4,267 ","$1,063 ",$0 ,$408 ,$906 ,"$1,504,667 ","$1,339,766 ","$1,328,722 ","$1,331,398 ","$1,121,518 "
Bell,"388,804","378,140","362,093","362,093","356,587","$1,458,431 ","$1,261,154 ","$726,109 ","$1,114,974 ","$1,380,039 ","$1,170,370 ","$1,089,673 ","$901,837 ","$885,980 ","$1,075,070 ","$3,013,011 ","$2,671,541 ","$2,037,555 ","$2,610,809 ","$3,062,563 "
Bexar,"2,062,280","2,050,463","2,006,193","2,006,193","1,991,779","$9,683,067 ","$7,847,853 ","$4,800,318 ","$6,643,498 ","$9,413,464 ","$2,692,629 ","$2,203,216 ","$2,089,410 ","$1,491,894 ","$2,749,958 ","$19,414,622 ","$14,362,470 ","$10,059,177 ","$11,265,989 ","$15,088,968 "
Blanco,"12,735","12,171","12,365","12,365","11,835","$17,616 ","$21,105 ","$32,203 ","$44,605 ","$40,895 ",$900 ,"$1,000 ",$0 ,"$7,050 ","$9,955 ","$60,379 ","$53,423 ","$37,761 ","$56,788 ","$58,182 "
Borden,550,624,686,686,666,$900 ,"$1,200 ","$2,650 ",$600 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,750 ","$4,450 ","$3,650 ","$1,600 ","$1,000 "
Bosque,"18,689","18,315","19,146","19,146","18,882","$51,479 ","$46,141 ","$46,649 ","$48,402 ","$52,138 ","$29,593 ","$29,235 ","$12,812 ","$12,511 ","$27,391 ","$93,876 ","$85,250 ","$69,910 ","$73,713 ","$102,068 "
Bowie,"91,532","91,083","95,897","95,897","97,488","$378,377 ","$485,560 ","$95,868 ","$116,164 ","$133,704 ","$46,257 ","$24,125 ","$65,018 ","$46,750 ","$14,350 ","$1,357,824 ","$1,314,690 ","$1,037,990 ","$1,079,328 ","$935,386 "
Brazoria,"392,273","382,691","382,874","382,874","383,058","$2,298,272 ","$2,152,740 ","$1,487,876 ","$1,405,066 ","$1,979,957 ","$830,307 ","$733,666 ","$590,519 ","$418,670 ","$624,400 ","$3,903,482 ","$3,429,919 ","$2,592,013 ","$2,358,580 ","$3,196,039 "
Brazos,"243,443","238,164","233,071","233,071","228,292","$2,251,394 ","$1,220,051 ","$979,003 ","$1,254,572 ","$1,382,283 ","$1,332,864 ","$722,933 ","$498,078 ","$513,595 ","$655,938 ","$4,786,616 ","$2,358,172 ","$1,894,616 ","$2,189,039 ","$2,215,680 "
Brewster,"9,361","9,457","9,055","9,055","9,128","$9,404 ",$574 ,"$15,381 ","$2,007 ","$103,159 ",$995 ,$0 ,$256 ,$880 ,$391 ,"$96,278 ","$84,810 ","$87,973 ","$93,633 ","$171,091 "
Briscoe,"1,438","1,400","1,599","1,599","1,535","$1,700 ","$4,000 ",$400 ,"$2,000 ",$400 ,$300 ,$700 ,$200 ,$100 ,$400 ,"$3,000 ","$5,700 ","$1,600 ","$3,100 ","$1,800 "
Brooks,"6,958","6,910","7,060","7,060","7,242","$23,988 ","$18,610 ","$14,775 ","$9,150 ","$30,388 ","$3,125 ",$775 ,$550 ,"$2,800 ","$16,550 ","$33,763 ","$22,185 ","$27,125 ","$24,050 ","$58,238 "
Brown,"38,014","38,352","38,874","38,874","39,470","$302,361 ","$353,827 ","$206,505 ","$194,176 ","$401,396 ","$90,497 ","$65,406 ","$53,750 ","$63,060 ","$85,106 ","$469,966 ","$518,155 ","$312,282 ","$338,654 ","$570,293 "
Burleson,"19,224","17,948","18,361","18,361","18,381","$173,675 ","$231,719 ","$166,165 ","$164,796 ","$222,891 ","$51,525 ","$43,898 ","$41,385 ","$42,716 ","$39,100 ","$266,845 ","$325,106 ","$239,701 ","$253,097 ","$308,616 "
Burnet,"53,077","51,285","49,225","49,225","48,190","$122,567 ","$69,678 ","$113,902 ","$75,288 ","$105,264 ","$33,903 ","$7,150 ","$7,913 ","$4,400 ","$7,045 ","$1,782,028 ","$1,224,035 ","$694,984 ","$657,400 ","$706,180 "
Caldwell,"47,320","47,434","43,501","43,501","42,956","$214,056 ","$173,817 ","$125,431 ","$185,245 ","$169,181 ","$194,719 ","$39,030 ","$42,069 ","$93,320 ","$75,573 ","$435,817 ","$238,514 ","$201,168 ","$317,318 ","$278,414 "
Calhoun,"19,705","19,827","22,058","22,058","21,915","$230,069 ","$127,190 ","$120,433 ","$92,452 ","$114,385 ","$36,680 ","$50,978 ","$35,702 ","$32,462 ","$34,963 ","$290,052 ","$196,912 ","$175,112 ","$147,525 ","$172,933 "
Callahan,"14,605","14,385","14,027","14,027","14,102","$37,217 ","$40,444 ","$74,778 ","$81,328 ","$46,755 ","$10,625 ","$8,595 ","$10,560 ","$3,540 ","$1,145 ","$59,598 ","$50,904 ","$88,131 ","$86,543 ","$49,775 "
Cameron,"424,884","421,254","426,144","426,144","425,849","$1,512,979 ","$868,296 ","$723,424 ","$729,018 ","$1,264,107 ","$1,013,623 ","$680,060 ","$443,661 ","$530,604 ","$932,775 ","$2,929,693 ","$1,815,584 ","$1,901,809 ","$2,023,724 ","$2,892,052 "
Camp,"12,180","12,533","12,936","12,936","12,843","$76,597 ","$60,515 ","$67,752 ","$50,747 ","$27,896 ","$24,269 ","$40,960 ","$32,401 ","$44,881 ","$78,086 ","$120,901 ","$109,138 ","$105,211 ","$102,053 ","$109,883 "
Carson,"5,687","5,701","5,875","5,875","6,158","$61,958 ","$43,569 ","$27,152 ","$47,780 ","$84,245 ","$1,556 ","$1,400 ","$1,182 ",$350 ,$0 ,"$65,889 ","$50,715 ","$38,208 ","$52,948 ","$91,045 "
Cass,"28,652","28,712","30,243","30,243","30,892","$172,354 ","$230,137 ","$167,104 ","$117,172 ","$210,623 ","$37,350 ","$28,200 ","$27,011 ","$41,464 ","$58,894 ","$214,904 ","$274,034 ","$214,149 ","$175,695 ","$287,928 "
Castro,"7,263","7,202","7,260","7,260","7,672","$42,465 ","$36,382 ","$10,500 ","$16,214 ","$31,163 ",$700 ,$0 ,$0 ,$0 ,$900 ,"$48,553 ","$37,897 ","$12,015 ","$18,465 ","$34,810 "
Chambers,"52,178","50,709","44,944","44,944","43,819","$450,824 ","$515,224 ","$260,373 ","$267,495 ","$458,409 ","$173,588 ","$109,980 ","$55,400 ","$61,150 ","$62,569 ","$670,435 ","$641,788 ","$368,202 ","$375,106 ","$552,727 "
Cherokee,"51,571","51,479","53,558","53,558","53,375","$330,667 ","$417,709 ","$245,380 ","$195,119 ","$247,347 ","$23,155 ","$25,596 ","$16,600 ","$18,985 ","$33,939 ","$365,081 ","$459,281 ","$289,677 ","$217,904 ","$289,211 "
Childress,"6,828","6,729","7,052","7,052","7,007","$61,261 ","$45,649 ","$38,116 ","$71,699 ","$141,497 ","$3,450 ","$2,800 ",$800 ,"$5,550 ","$7,798 ","$67,444 ","$55,796 ","$53,976 ","$81,503 ","$155,959 "
Clay,"10,507","10,153","10,317","10,317","10,428","$47,644 ","$29,347 ","$28,964 ","$32,432 ","$34,861 ","$2,980 ","$5,395 ","$1,625 ","$2,295 ","$2,850 ","$58,104 ","$41,372 ","$37,219 ","$43,788 ","$46,255 "
Cochran,"2,536","2,549","2,890","2,890","2,931","$5,805 ","$26,087 ","$11,039 ","$6,416 ","$19,152 ",$500 ,"$1,700 ","$1,200 ","$2,300 ","$1,700 ","$16,872 ","$34,047 ","$13,539 ","$15,343 ","$24,679 "
Coke,"3,304","3,310","3,400","3,400","3,340","$13,050 ","$16,104 ","$39,059 ","$33,581 ","$7,900 ",$0 ,$0 ,$400 ,"$1,440 ",$400 ,"$18,504 ","$22,036 ","$40,459 ","$36,021 ","$9,899 "
Coleman,"7,753","7,687","8,041","8,041","8,483","$31,847 ","$39,200 ","$29,870 ","$31,814 ","$36,226 ","$5,300 ","$5,200 ","$1,700 ","$3,600 ","$7,484 ","$49,479 ","$47,607 ","$37,917 ","$38,979 ","$48,869 "
Collin,"1,190,111","1,121,133","1,047,901","1,047,901","1,018,952","$4,117,899 ","$4,124,436 ","$3,805,117 ","$3,978,669 ","$4,335,787 ","$2,236,342 ","$2,000,039 ","$1,786,624 ","$1,490,464 ","$2,011,938 ","$7,990,768 ","$7,329,321 ","$6,791,130 ","$6,787,700 ","$7,792,404 "
Collingsworth,"2,554","2,602","2,802","2,802","2,943","$6,829 ","$66,876 ","$13,216 ","$8,808 ","$11,626 ",$430 ,$250 ,$0 ,$0 ,$730 ,"$9,801 ","$70,876 ","$14,216 ","$11,254 ","$16,866 "
Colorado,"20,713","20,639","22,566","22,566","21,662","$4,750 ","$3,500 ","$3,058 ","$4,535 ","$5,400 ","$2,500 ",$500 ,"$1,500 ",$900 ,"$4,400 ","$253,570 ","$224,324 ","$209,171 ","$215,166 ","$212,376 "
Comal,"189,592","182,669","161,328","161,328","149,993","$949,232 ","$652,033 ","$453,334 ","$682,556 ","$623,499 ","$274,342 ","$250,676 ","$208,508 ","$214,226 ","$401,698 ","$1,264,100 ","$930,762 ","$700,579 ","$933,632 ","$1,071,475 "
Comanche,"14,335","13,838","13,848","13,848","13,915","$62,409 ","$144,753 ","$45,765 ","$48,146 ","$57,975 ","$30,780 ","$22,842 ","$14,121 ","$18,939 ","$12,556 ","$132,000 ","$188,997 ","$79,921 ","$78,560 ","$77,880 "
Concho,"3,363","3,326","2,715","2,715","2,044","$173,620 ","$64,034 ","$3,960 ","$23,398 ","$38,832 ",$0 ,"$1,143 ",$400 ,"$1,200 ",$800 ,"$182,046 ","$75,506 ","$5,360 ","$30,293 ","$40,692 "
Cooke,"43,219","42,164","40,685","40,685","40,176","$193,495 ","$281,910 ","$187,571 ","$219,631 ","$273,976 ","$19,750 ","$40,409 ","$41,146 ","$55,983 ","$81,679 ","$280,012 ","$365,969 ","$278,909 ","$330,851 ","$390,843 "
Coryell,"84,946","85,007","75,657","75,657","74,095","$430,997 ","$479,662 ","$275,396 ","$243,947 ","$356,809 ","$80,200 ","$79,247 ","$77,960 ","$59,850 ","$87,543 ","$565,622 ","$602,874 ","$394,797 ","$427,091 ","$568,980 "
Cottle,"1,300","1,381","1,346","1,346","1,373","$6,405 ","$18,929 ","$8,375 ","$3,674 ","$32,623 ",$300 ,$0 ,$0 ,$0 ,$150 ,"$11,130 ","$23,248 ","$9,375 ","$4,674 ","$34,103 "
Crane,"4,821","4,679","4,670","4,670","4,696","$43,890 ","$45,285 ","$27,854 ","$25,004 ","$18,050 ","$8,000 ","$5,150 ","$3,300 ","$5,050 ","$4,300 ","$56,662 ","$52,707 ","$36,426 ","$33,676 ","$25,337 "
Crockett,"3,009","3,060","3,465","3,465","3,428","$96,336 ","$45,141 ","$39,363 ","$56,301 ","$48,682 ","$15,495 ","$22,327 ","$19,445 ","$18,700 ","$25,697 ","$113,967 ","$69,604 ","$58,808 ","$80,273 ","$77,194 "
Crosby,"4,910","5,016","5,658","5,658","5,769","$11,425 ","$4,235 ","$3,100 ","$7,100 ","$9,658 ","$9,750 ","$1,410 ","$1,050 ","$1,650 ","$1,300 ","$28,997 ","$13,122 ","$6,770 ","$11,370 ","$14,381 "
Culberson,"2,116","2,194","2,228","2,228","2,154",$0 ,"$2,160 ",$350 ,$0 ,"$4,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$781,109 ","$653,481 ","$580,047 ","$545,285 ","$427,751 "
Dallam,"7,173","7,183","6,929","6,929","7,310","$41,668 ","$33,893 ","$34,750 ","$42,504 ","$36,247 ","$20,594 ","$19,937 ","$19,857 ","$19,093 ","$18,386 ","$64,933 ","$56,392 ","$56,393 ","$63,539 ","$56,898 "
Dallas,"2,636,564","2,595,878","2,647,627","2,647,627","2,650,320","$14,205,777 ","$10,475,313 ","$8,239,790 ","$9,753,539 ","$13,420,299 ","$2,568,052 ","$2,431,585 ","$1,716,141 ","$2,176,818 ","$2,927,885 ","$37,044,366 ","$30,206,211 ","$31,666,238 ","$32,511,082 ","$37,533,215 "
Dawson,"11,930","12,438","12,652","12,652","12,544","$76,054 ","$33,460 ","$35,190 ","$41,856 ","$46,089 ","$18,000 ","$17,500 ","$8,500 ","$5,950 ","$6,800 ","$102,992 ","$63,255 ","$52,176 ","$60,580 ","$62,852 "
Deaf Smith,"18,392","18,315","19,572","19,572","19,461","$240,020 ","$148,427 ","$96,946 ","$121,918 ","$187,375 ",$900 ,"$2,308 ","$3,505 ","$6,640 ","$2,285 ","$276,241 ","$167,365 ","$131,740 ","$146,107 ","$213,107 "
Delta,"5,483","5,345","5,304","5,304","5,254","$25,400 ","$20,000 ","$7,800 ","$5,100 ","$12,100 ","$6,400 ","$4,200 ","$1,000 ","$2,700 ","$4,600 ","$32,100 ","$25,100 ","$8,800 ","$8,050 ","$17,200 "
Denton,"995,510","957,367","904,005","904,005","861,357","$3,574,209 ","$2,994,898 ","$3,126,204 ","$2,536,339 ","$2,996,541 ","$1,446,376 ","$1,345,256 ","$1,261,641 ","$1,011,837 ","$1,291,772 ","$5,339,732 ","$4,571,496 ","$4,625,432 ","$3,776,878 ","$4,576,917 "
DeWitt,"19,506","19,875","20,459","20,459","20,860","$213,627 ","$193,180 ","$153,698 ","$122,222 ","$101,041 ","$8,050 ","$10,563 ","$10,933 ","$19,612 ","$27,324 ","$234,333 ","$218,947 ","$178,889 ","$151,359 ","$139,518 "
Dickens,"1,737","1,726","2,054","2,054","2,271","$4,565 ","$2,000 ","$3,200 ","$2,624 ","$8,602 ",$300 ,"$1,100 ",$100 ,$0 ,"$1,500 ","$5,865 ","$4,100 ","$4,300 ","$3,624 ","$11,202 "
Dimmit,"8,280","8,557","9,426","9,426","10,020","$45,473 ","$15,828 ","$2,333 ","$9,895 ","$29,093 ","$12,100 ","$1,902 ",$0 ,"$2,137 ","$2,025 ","$61,618 ","$21,915 ","$6,343 ","$16,967 ","$36,358 "
Donley,"3,270","3,287","3,170","3,170","3,359","$13,822 ","$20,493 ","$16,988 ","$14,514 ","$65,782 ",$0 ,$0 ,$0 ,$460 ,$570 ,"$20,446 ","$24,281 ","$21,515 ","$21,416 ","$70,931 "
Duval,"9,912","9,385","10,860","10,860","10,949","$5,035 ","$8,397 ",$0 ,"$4,400 ","$6,730 ",$700 ,$900 ,"$1,550 ",$0 ,$800 ,"$54,129 ","$58,141 ","$51,759 ","$55,324 ","$112,777 "
Eastland,"18,092","17,843","18,278","18,278","18,416","$121,351 ","$130,829 ","$110,308 ","$95,787 ","$165,155 ","$32,262 ","$40,375 ","$25,775 ","$37,725 ","$45,825 ","$168,922 ","$194,245 ","$146,664 ","$157,346 ","$222,886 "
Ector,"173,239","159,230","169,394","169,394","165,230","$1,438,936 ","$1,218,606 ","$832,332 ","$891,269 ","$827,428 ","$474,241 ","$380,195 ","$253,275 ","$233,750 ","$245,775 ","$2,132,198 ","$2,006,119 ","$1,327,224 ","$1,351,586 ","$1,369,320 "
Edwards,"1,411","1,411","1,979","1,979","1,912","$14,783 ","$22,937 ","$14,139 ","$2,494 ","$4,456 ",$403 ,$683 ,$608 ,$385 ,$791 ,"$16,185 ","$24,620 ","$15,747 ","$4,211 ","$6,247 "
Ellis,"215,401","208,861","191,469","191,469","182,439","$1,628,419 ","$1,277,310 ","$1,088,389 ","$991,002 ","$984,926 ","$561,275 ","$552,410 ","$431,038 ","$419,368 ","$545,872 ","$2,381,520 ","$2,007,084 ","$1,683,011 ","$1,584,409 ","$1,620,581 "
El Paso,"869,608","874,347","851,888","851,888","855,623","$2,361,326 ","$2,344,566 ","$1,869,228 ","$2,555,311 ","$3,057,133 ","$738,161 ","$680,733 ","$935,007 ","$1,123,096 ","$1,752,752 ","$17,250,721 ","$15,088,658 ","$13,355,818 ","$13,661,891 ","$15,005,802 "
Erath,"43,140","43,749","43,110","43,110","43,366","$88,260 ","$65,567 ","$54,500 ","$55,398 ","$100,485 ","$29,925 ","$23,924 ","$36,425 ","$40,265 ","$55,100 ","$127,210 ","$91,979 ","$93,075 ","$98,448 ","$161,985 "
Falls,"17,275","16,612","17,432","17,432","17,346","$152,952 ","$175,792 ","$133,346 ","$156,706 ","$139,050 ","$43,410 ","$46,344 ","$27,800 ","$41,035 ","$39,475 ","$228,243 ","$259,318 ","$184,102 ","$213,816 ","$206,861 "
Fannin,"37,300","36,670","36,727","36,727","35,347","$500,239 ","$371,919 ","$475,970 ","$300,745 ","$215,676 ","$53,230 ","$48,895 ","$54,755 ","$24,629 ","$53,700 ","$636,216 ","$478,767 ","$562,553 ","$379,964 ","$329,459 "
Fayette,"25,003","24,529","26,522","26,522","25,816","$222,179 ","$282,508 ","$87,439 ","$212,577 ","$100,143 ","$46,718 ","$42,742 ","$53,401 ","$50,568 ","$59,730 ","$300,702 ","$369,633 ","$154,324 ","$272,403 ","$161,325 "
Fisher,"3,559","3,728","3,897","3,897","3,708","$29,648 ","$20,350 ","$20,175 ","$4,250 ","$9,950 ","$1,200 ","$3,900 ",$600 ,$350 ,"$1,500 ","$32,148 ","$25,250 ","$21,775 ","$5,600 ","$12,481 "
Floyd,"5,124","5,273","5,445","5,445","5,698","$9,475 ","$17,473 ","$6,360 ","$8,616 ","$11,460 ","$1,900 ","$2,250 ","$2,550 ",$450 ,"$3,850 ","$13,356 ","$21,304 ","$10,441 ","$10,647 ","$17,682 "
Foard,"1,069","1,073","1,102","1,102","1,205","$2,750 ","$4,375 ","$1,175 ","$2,234 ",$750 ,$0 ,$0 ,$0 ,"$1,500 ","$1,459 ","$3,750 ","$5,375 ","$2,175 ","$5,184 ","$3,209 "
Fort Bend,"878,774","875,921","818,912","818,912","786,213","$5,132,478 ","$3,698,561 ","$3,338,889 ","$4,303,707 ","$3,641,187 ","$1,760,841 ","$1,369,948 ","$1,173,107 ","$1,373,103 ","$1,476,989 ","$10,837,165 ","$8,789,102 ","$7,884,835 ","$8,842,264 ","$8,053,973 "
Franklin,"11,161","10,477","10,792","10,792","10,748","$36,628 ","$45,345 ","$36,625 ","$41,512 ","$44,218 ","$2,500 ","$2,000 ","$2,900 ","$1,050 ","$4,100 ","$50,586 ","$59,103 ","$50,683 ","$54,820 ","$63,180 "
Freestone,"19,918","19,853","20,732","20,732","20,472","$123,096 ","$217,669 ","$130,328 ","$96,223 ","$126,070 ","$13,475 ","$12,309 ","$14,044 ","$12,653 ","$16,595 ","$146,307 ","$237,464 ","$151,485 ","$117,011 ","$155,752 "
Frio,"18,219","19,030","18,937","18,937","19,735","$60,816 ","$59,676 ","$46,305 ","$36,850 ","$108,120 ","$21,700 ","$11,100 ","$14,000 ","$6,400 ","$12,200 ","$180,196 ","$167,052 ","$122,898 ","$52,737 ","$134,193 "
Gaines,"22,052","22,010","21,258","21,258","21,200","$165,676 ","$64,297 ","$34,188 ","$25,432 ","$26,530 ","$26,724 ","$14,646 ","$11,307 ","$12,768 ","$17,347 ","$223,888 ","$101,002 ","$72,054 ","$65,980 ","$72,763 "
