county,pop_2023,pop_2022,pop_2021,pop_2020,pop_2019,felExp_2023,felExp_2022,felExp_2021,felExp_2020,felExp_2019,misdExp_2023,misdExp_2022,misdExp_2021,misdExp_2020,misdExp_2019,totalExp_2023,totalExp_2022,totalExp_2021,totalExp_2020,totalExp_2019
Montgomery,"690,414","667,076","609,172","609,172","610,513","$4,167,059 ","$3,887,351 ","$3,660,357 ","$3,947,390 ","$4,401,682 ","$1,292,528 ","$1,009,958 ","$853,204 ","$894,243 ","$1,063,062 ","$5,838,533 ","$5,623,141 ","$5,201,620 ","$5,601,582 ","$6,168,323 "
Moore,"21,090","20,970","20,902","20,902","20,615","$93,028 ","$148,185 ","$143,720 ","$109,735 ","$68,858 ","$268,949 ","$177,232 ","$153,924 ","$168,642 ","$210,553 ","$390,116 ","$344,533 ","$322,890 ","$309,012 ","$311,658 "
Morris,"12,049","12,059","12,468","12,468","12,258","$77,038 ","$89,214 ","$75,903 ","$73,108 ","$58,529 ","$26,563 ","$9,669 ","$13,034 ","$16,097 ","$30,738 ","$103,600 ","$101,467 ","$96,362 ","$99,940 ","$97,608 "
Motley,"1,024","1,048","1,196","1,196","1,225","$3,000 ","$5,023 ","$2,240 ","$5,690 ","$3,184 ",$500 ,$500 ,$100 ,$0 ,$500 ,"$5,800 ","$6,523 ","$3,340 ","$6,690 ","$4,684 "
Nacogdoches,"65,318","64,309","64,850","64,850","65,483","$312,577 ","$293,901 ","$151,934 ","$145,101 ","$228,046 ","$100,554 ","$129,086 ","$72,243 ","$78,686 ","$95,162 ","$474,223 ","$465,479 ","$240,921 ","$271,237 ","$357,996 "
Navarro,"55,334","53,839","52,973","52,973","50,263","$1,050,726 ","$548,430 ","$408,416 ","$570,944 ","$645,314 ","$122,425 ","$79,133 ","$46,732 ","$71,230 ","$81,112 ","$1,362,274 ","$692,632 ","$496,476 ","$687,369 ","$784,805 "
Newton,"11,836","12,367","13,103","13,103","13,692","$38,270 ","$37,550 ","$57,949 ","$40,449 ","$95,149 ","$6,475 ","$4,825 ","$7,325 ","$3,525 ","$8,517 ","$48,045 ","$42,825 ","$65,274 ","$43,974 ","$113,816 "
Nolan,"14,576","14,417","14,150","14,150","14,551","$367,557 ","$323,033 ","$230,134 ","$180,477 ","$228,579 ","$38,545 ","$25,800 ","$23,678 ","$44,707 ","$59,994 ","$429,676 ","$351,408 ","$254,792 ","$229,237 ","$306,038 "
Nueces,"349,590","350,472","363,776","363,776","361,387","$2,759,904 ","$1,937,880 ","$1,195,786 ","$1,360,015 ","$2,521,513 ","$747,311 ","$827,392 ","$534,170 ","$440,479 ","$695,319 ","$5,046,145 ","$2,880,380 ","$1,889,963 ","$1,967,339 ","$3,491,498 "
Ochiltree,"9,355","9,758","10,246","10,246","10,012","$76,155 ","$73,040 ","$67,495 ","$42,594 ","$78,655 ","$12,400 ","$13,250 ","$8,840 ","$12,650 ","$12,350 ","$97,789 ","$100,253 ","$81,187 ","$60,606 ","$96,297 "
Oldham,"1,744","1,738","2,131","2,131","2,100","$24,100 ","$10,800 ","$14,590 ","$23,700 ","$50,870 ","$3,000 ","$12,239 ","$8,094 ","$6,950 ","$5,650 ","$28,100 ","$24,039 ","$24,634 ","$31,650 ","$57,520 "
Orange,"84,869","84,111","82,168","82,168","84,866","$246,423 ","$359,564 ","$249,317 ","$226,024 ","$242,550 ","$74,505 ","$88,659 ","$100,107 ","$91,898 ","$114,156 ","$366,058 ","$497,054 ","$395,883 ","$361,908 ","$430,309 "
Palo Pinto,"29,113","28,498","29,069","29,069","28,865","$187,500 ","$285,154 ","$52,017 ","$126,705 ","$189,185 ","$12,600 ","$13,500 ","$11,925 ","$13,500 ","$11,500 ","$215,284 ","$305,399 ","$75,105 ","$155,376 ","$244,889 "
Panola,"22,813","22,540","24,611","24,611","24,573","$395,365 ","$264,939 ","$172,485 ","$225,413 ","$168,254 ","$64,833 ","$37,882 ","$29,294 ","$45,772 ","$54,008 ","$469,054 ","$315,052 ","$206,729 ","$278,585 ","$226,763 "
Parker,"171,225","158,990","143,504","143,504","138,007","$694,471 ","$747,922 ","$541,010 ","$600,796 ","$822,577 ","$157,068 ","$123,429 ","$110,263 ","$125,046 ","$184,178 ","$988,750 ","$974,394 ","$732,169 ","$851,322 ","$1,119,656 "
Parmer,"9,434","9,703","9,325","9,325","9,872","$31,472 ","$38,815 ","$16,060 ","$22,212 ","$41,240 ",$398 ,$488 ,$806 ,$684 ,"$3,206 ","$33,842 ","$41,275 ","$20,713 ","$25,261 ","$47,935 "
Pecos,"14,530","15,115","15,033","15,033","14,870","$257,256 ","$206,211 ","$134,709 ","$101,090 ","$124,841 ","$31,337 ","$21,217 ","$24,930 ","$17,068 ","$16,672 ","$307,527 ","$250,952 ","$178,151 ","$153,229 ","$162,551 "
Polk,"53,837","52,947","50,717","50,717","49,856","$498,034 ","$514,501 ","$304,062 ","$283,340 ","$348,665 ","$157,411 ","$157,659 ","$116,114 ","$97,274 ","$139,476 ","$725,296 ","$723,297 ","$472,472 ","$429,994 ","$541,698 "
Potter,"115,903","115,027","115,471","115,471","116,744","$1,164,019 ","$1,328,594 ","$1,186,408 ","$1,005,444 ","$1,347,325 ","$395,747 ","$531,277 ","$354,158 ","$180,839 ","$281,233 ","$3,825,898 ","$2,523,643 ","$1,699,874 ","$1,377,535 ","$1,903,193 "
Presidio,"6,125","6,059","6,302","6,302","7,014","$1,471 ",$266 ,$0 ,"$4,844 ","$3,245 ",$0 ,$0 ,$0 ,$0 ,$376 ,"$31,649 ","$31,296 ","$26,764 ","$33,163 ","$26,439 "
Rains,"12,660","12,446","12,493","12,493","12,641","$18,910 ","$34,930 ","$32,054 ","$15,150 ","$34,300 ","$6,200 ","$3,900 ","$1,800 ","$1,500 ","$6,650 ","$36,932 ","$50,652 ","$45,326 ","$28,772 ","$56,692 "
Randall,"147,367","145,018","138,549","138,549","142,446","$1,048,554 ","$710,560 ","$573,357 ","$572,874 ","$765,152 ","$297,316 ","$212,996 ","$167,891 ","$170,534 ","$294,358 ","$1,501,607 ","$1,116,135 ","$936,047 ","$968,503 ","$1,267,918 "
Reagan,"3,097","3,355","3,895","3,895","3,756","$40,562 ","$63,608 ","$38,304 ","$34,228 ","$43,328 ","$16,974 ","$17,868 ","$5,328 ","$4,019 ","$19,650 ","$65,247 ","$82,975 ","$45,132 ","$41,727 ","$64,478 "
Real,"2,940","2,729","3,464","3,464","3,600","$24,675 ","$15,925 ","$11,250 ","$8,875 ","$10,345 ","$9,425 ",$0 ,"$1,475 ","$3,375 ","$2,900 ","$36,152 ","$20,652 ","$14,777 ","$14,302 ","$15,955 "
Red River,"11,472","11,627","11,479","11,479","12,071","$65,224 ","$109,220 ","$65,864 ","$72,509 ","$90,085 ","$8,213 ","$7,888 ","$11,475 ","$9,728 ","$13,181 ","$108,253 ","$137,442 ","$98,992 ","$99,598 ","$126,864 "
Reeves,"13,876","14,898","16,400","16,400","15,853","$153,947 ","$138,459 ","$118,035 ","$56,637 ","$113,827 ","$8,133 ","$8,168 ","$2,620 ","$1,736 ","$5,741 ","$166,568 ","$159,105 ","$126,073 ","$64,631 ","$127,056 "
Refugio,"6,817","6,762","6,844","6,844","6,817","$60,966 ","$43,880 ","$22,200 ","$6,677 ","$28,059 ","$15,305 ",$575 ,$0 ,"$1,000 ","$1,203 ","$341,676 ","$104,445 ","$83,912 ","$71,387 ","$107,184 "
Roberts,813,813,832,832,872,$0 ,"$3,505 ", ,$0 ,$0 ,$250 ,$500 , ,$500 ,$500 ,"$1,250 ","$5,005 ","$1,000 ","$1,500 ","$1,500 "
Robertson,"17,051","16,819","17,613","17,613","17,937","$235,696 ","$185,075 ","$194,584 ","$118,224 ","$231,347 ","$11,575 ","$13,213 ","$8,045 ","$9,794 ","$9,675 ","$261,564 ","$206,594 ","$213,932 ","$135,317 ","$264,593 "
Rockwall,"123,286","120,782","105,969","105,969","97,807","$568,445 ","$465,274 ","$423,355 ","$382,642 ","$525,684 ","$304,806 ","$252,683 ","$281,967 ","$299,572 ","$349,290 ","$940,837 ","$758,888 ","$754,216 ","$702,118 ","$919,852 "
Runnels,"9,885","9,938","10,218","10,218","9,693","$56,262 ","$104,691 ","$28,975 ","$68,694 ","$140,153 ","$2,200 ","$7,800 ","$5,600 ","$4,374 ","$19,369 ","$91,517 ","$148,387 ","$37,345 ","$99,724 ","$164,163 "
Rusk,"53,476","52,539","54,764","54,764","53,959","$171,943 ","$165,580 ","$88,923 ","$79,031 ","$135,604 ","$46,160 ","$52,280 ","$33,087 ","$25,981 ","$25,559 ","$231,961 ","$222,519 ","$134,863 ","$134,596 ","$175,668 "
Sabine,"9,913","9,847","10,859","10,859","11,138","$44,785 ","$72,188 ","$32,500 ","$22,775 ","$44,800 ","$9,400 ","$15,929 ","$10,000 ","$3,625 ","$7,750 ","$63,452 ","$97,184 ","$52,117 ","$34,567 ","$64,267 "
San Augustine,"7,979","7,909","8,409","8,409","8,656","$65,060 ","$67,070 ","$41,443 ","$30,060 ","$36,968 ",$500 ,"$1,700 ","$2,475 ",$0 ,$0 ,"$65,560 ","$75,311 ","$46,668 ","$31,860 ","$38,768 "
San Jacinto,"28,835","27,371","29,652","29,652","29,507","$140,878 ","$214,653 ","$96,582 ","$128,411 ","$134,811 ","$3,600 ","$2,875 ","$2,600 ","$7,562 ","$9,095 ","$147,228 ","$223,479 ","$103,095 ","$142,366 ","$148,656 "
San Patricio,"69,283","69,282","67,033","67,033","65,960","$748,210 ","$780,951 ","$329,011 ","$250,519 ","$289,329 ",$0 ,$0 ,"$182,518 ","$149,094 ","$179,299 ","$805,332 ","$816,400 ","$527,585 ","$432,523 ","$498,045 "
San Saba,"5,956","5,676","6,223","6,223","6,224","$27,781 ","$22,770 ","$28,783 ","$8,085 ","$16,412 ","$1,400 ","$1,403 ",$0 ,"$1,020 ","$1,825 ","$29,881 ","$47,679 ","$40,536 ","$21,833 ","$33,465 "
Schleicher,"2,302","2,429","2,727","2,727","3,099","$10,168 ","$17,401 ","$21,517 ","$10,450 ","$13,350 ","$2,025 ",$0 ,"$2,286 ",$750 ,"$4,348 ","$17,533 ","$24,484 ","$28,803 ","$12,950 ","$20,448 "
Scurry,"17,048","16,526","16,556","16,556","17,129","$116,475 ","$119,150 ","$114,525 ","$75,100 ","$36,400 ","$50,000 ","$50,600 ","$24,250 ","$1,225 ",$0 ,"$179,112 ","$179,387 ","$149,187 ","$85,387 ","$51,816 "
Shackelford,"3,259","3,051","3,415","3,415","3,263","$23,415 ","$9,800 ","$10,640 ","$2,650 ","$7,360 ","$4,648 ","$3,600 ",$785 ,"$1,325 ","$1,425 ","$37,012 ","$14,400 ","$13,025 ","$6,575 ","$9,785 "
Shelby,"24,012","23,878","24,054","24,054","24,624","$66,769 ","$92,590 ","$76,988 ","$123,333 ","$336,700 ","$4,050 ","$2,700 ","$12,636 ","$4,050 ","$10,100 ","$88,106 ","$97,090 ","$92,530 ","$131,401 ","$349,050 "
Sherman,"2,814","2,762","3,072","3,072","3,116","$18,047 ","$20,557 ","$12,237 ","$15,688 ","$12,908 ","$8,223 ","$6,992 ","$12,736 ","$12,487 ","$13,985 ","$27,270 ","$30,048 ","$25,973 ","$29,674 ","$28,143 "
Smith,"245,426","237,813","232,675","232,675","230,086","$1,454,399 ","$1,599,947 ","$1,503,363 ","$1,238,617 ","$1,220,367 ","$139,094 ","$75,869 ","$86,025 ","$85,903 ","$112,770 ","$2,048,393 ","$2,064,341 ","$1,871,321 ","$1,720,284 ","$1,944,106 "
Somervell,"9,951","9,444","9,605","9,605","9,604","$40,187 ","$4,050 ","$18,088 ","$45,062 ","$26,974 ",$0 ,"$28,685 ","$1,750 ","$3,500 ","$6,000 ","$41,791 ","$34,339 ","$21,442 ","$50,166 ","$37,676 "
Starr,"65,952","65,248","63,688","63,688","63,406","$35,359 ","$31,920 ","$3,500 ","$5,045 ","$29,198 ","$4,050 ","$1,300 ",$0 ,$930 ,"$1,000 ","$1,053,900 ","$1,048,461 ","$1,005,991 ","$1,008,636 ","$1,013,598 "
Stephens,"9,255","9,175","9,506","9,506","9,703","$40,235 ","$56,493 ","$48,554 ","$57,333 ","$53,675 ","$31,625 ","$48,600 ","$25,575 ","$45,405 ","$13,741 ","$76,927 ","$117,273 ","$79,142 ","$134,765 ","$77,543 "
Sterling,"1,419","1,396","1,239","1,239","1,294","$27,208 ","$32,446 ","$25,905 ","$19,633 ","$11,803 ",$0 ,"$3,600 ","$6,000 ","$3,822 ","$6,003 ","$33,386 ","$42,035 ","$32,905 ","$25,332 ","$18,805 "
Stonewall,"1,167","1,203","1,380","1,380","1,409","$6,296 ","$7,059 ","$5,100 ","$6,095 ","$3,494 ",$450 ,$0 ,"$1,000 ","$2,400 ",$100 ,"$7,746 ","$8,059 ","$7,100 ","$9,495 ","$8,271 "
Sutton,"3,206","3,270","3,619","3,619","3,745","$26,570 ","$46,591 ","$22,457 ","$17,612 ","$22,703 ","$11,901 ","$8,603 ","$4,660 ","$11,382 ","$14,218 ","$42,461 ","$58,934 ","$30,856 ","$32,733 ","$41,695 "
Swisher,"6,801","6,868","7,435","7,435","7,421","$42,744 ","$38,522 ","$16,170 ","$28,234 ","$19,825 ","$8,175 ","$4,768 ",$750 ,"$1,633 ","$8,072 ","$60,981 ","$50,438 ","$22,931 ","$36,277 ","$36,102 "
Tarrant,"2,167,129","2,122,081","2,063,496","2,063,496","2,064,380","$19,126,303 ","$15,925,152 ","$11,733,268 ","$13,287,875 ","$15,304,529 ","$5,221,548 ","$4,719,223 ","$2,853,066 ","$3,146,468 ","$4,202,275 ","$26,901,754 ","$22,347,978 ","$15,951,308 ","$18,321,352 ","$21,602,871 "
Taylor,"145,709","142,918","139,083","139,083","138,849","$1,617,826 ","$1,663,358 ","$1,105,185 ","$1,284,502 ","$1,335,719 ","$260,130 ","$234,675 ","$270,200 ","$289,310 ","$267,000 ","$2,444,537 ","$2,148,542 ","$1,604,928 ","$1,830,365 ","$1,900,850 "
Terrell,691,708,776,776,843,"$14,040 ", ,"$1,724 ",$500 ,"$6,607 ",$0 , ,$0 ,$500 ,"$5,424 ","$15,040 ","$1,000 ","$2,724 ","$2,000 ","$13,031 "
Terry,"11,484","11,615","12,538","12,538","12,478","$90,443 ","$93,941 ","$70,771 ","$146,440 ","$83,142 ","$25,714 ","$27,339 ","$24,674 ","$25,907 ","$27,818 ","$127,216 ","$129,150 ","$103,429 ","$180,819 ","$130,493 "
Throckmorton,"1,607","1,510","1,407","1,407","1,525","$33,830 ","$10,364 ","$6,492 ","$14,081 ","$13,943 ","$2,400 ","$1,200 ",$0 ,$0 ,$0 ,"$38,355 ","$12,564 ","$7,492 ","$15,081 ","$14,943 "
Titus,"31,267","30,869","33,596","33,596","33,793","$176,456 ","$210,999 ","$139,371 ","$53,130 ","$72,037 ","$15,750 ","$11,350 ","$16,919 ","$13,450 ","$29,875 ","$197,406 ","$232,709 ","$158,615 ","$79,892 ","$112,875 "
Tom Green,"118,694","120,429","117,791","117,791","117,278","$1,355,807 ","$1,843,823 ","$1,133,157 ","$1,552,195 ","$1,677,143 ","$246,044 ","$309,539 ","$232,243 ","$204,262 ","$245,974 ","$4,086,064 ","$3,396,086 ","$1,526,791 ","$1,916,440 ","$2,258,017 "
Travis,"1,330,591","1,327,925","1,285,526","1,285,526","1,260,620","$6,841,041 ","$5,839,537 ","$5,046,971 ","$5,726,001 ","$7,026,600 ","$3,264,400 ","$2,071,252 ","$1,546,344 ","$2,116,802 ","$3,046,820 ","$21,141,882 ","$16,357,789 ","$13,177,425 ","$12,723,218 ","$14,555,636 "
Trinity,"14,212","13,607","14,457","14,457","14,643","$92,674 ","$90,993 ","$64,738 ","$41,017 ","$57,895 ","$5,650 ","$9,910 ","$9,510 ","$12,828 ","$29,781 ","$103,439 ","$108,961 ","$83,268 ","$62,698 ","$95,816 "
Tyler,"20,061","19,842","22,966","22,966","22,474","$107,325 ","$78,281 ","$89,609 ","$55,835 ","$145,355 ","$12,000 ","$10,230 ","$10,000 ","$13,011 ","$13,900 ","$119,325 ","$102,959 ","$114,057 ","$80,794 ","$175,160 "
Upshur,"43,809","41,375","41,262","41,262","40,998","$138,214 ","$126,320 ","$169,628 ","$91,741 ","$189,573 ","$23,489 ","$25,563 ","$24,500 ","$19,434 ","$43,129 ","$177,340 ","$159,041 ","$213,921 ","$125,645 ","$249,619 "
Upton,"3,258","3,255","3,581","3,581","3,743","$27,088 ","$66,427 ","$42,791 ","$48,024 ","$48,589 ","$21,732 ","$26,861 ","$20,641 ","$20,150 ","$10,445 ","$52,111 ","$102,814 ","$72,280 ","$70,695 ","$93,521 "
Uvalde,"24,675","24,223","26,260","26,260","27,691","$309,582 ","$211,828 ","$129,034 ","$126,237 ","$137,007 ","$4,800 ",$800 ,"$4,200 ","$4,950 ","$3,500 ","$368,796 ","$265,635 ","$184,730 ","$182,718 ","$194,858 "
Val Verde,"47,564","46,993","50,988","50,988","50,624","$249,525 ","$192,648 ","$97,409 ","$81,038 ","$121,640 ","$149,439 ","$58,975 ","$93,950 ","$134,512 ","$130,156 ","$445,451 ","$282,885 ","$233,027 ","$272,682 ","$292,620 "
Van Zandt,"63,176","61,725","56,503","56,503","56,596","$299,905 ","$298,759 ","$259,291 ","$250,284 ","$402,352 ","$43,020 ","$54,490 ","$59,883 ","$28,200 ","$62,260 ","$422,392 ","$431,678 ","$401,057 ","$356,642 ","$544,046 "
Victoria,"91,228","90,875","90,940","90,940","92,059","$881,903 ","$754,830 ","$613,566 ","$421,585 ","$741,093 ","$358,211 ","$286,067 ","$185,232 ","$224,344 ","$209,766 ","$1,528,197 ","$1,280,697 ","$998,770 ","$817,283 ","$1,138,737 "
Walker,"78,816","77,425","77,300","77,300","75,055","$370,118 ","$255,668 ","$115,914 ","$151,260 ","$247,410 ","$264,841 ","$200,472 ","$137,008 ","$156,639 ","$150,498 ","$683,530 ","$497,146 ","$293,978 ","$352,962 ","$447,249 "
Waller,"63,291","60,313","55,626","55,626","54,349","$552,135 ","$501,472 ","$378,680 ","$428,237 ","$393,676 ","$273,947 ","$277,745 ","$189,133 ","$202,215 ","$203,049 ","$894,635 ","$849,346 ","$682,952 ","$687,225 ","$650,891 "
Ward,"11,817","10,769","11,635","11,635","11,372","$125,320 ","$124,779 ","$98,105 ","$120,645 ","$121,293 ","$7,854 ","$17,885 ","$16,316 ","$15,584 ","$10,311 ","$144,603 ","$158,192 ","$127,337 ","$152,446 ","$147,839 "
Washington,"36,147","35,601","35,612","35,612","35,801","$442,902 ","$339,797 ","$286,770 ","$279,855 ","$356,455 ","$56,200 ","$87,290 ","$86,652 ","$72,250 ","$78,810 ","$575,640 ","$450,630 ","$412,637 ","$406,746 ","$459,180 "
Webb,"272,271","269,377","280,547","280,547","281,964","$1,152,282 ","$684,328 ","$554,130 ","$522,693 ","$579,801 ","$174,800 ","$160,625 ","$149,375 ","$251,050 ","$304,025 ","$4,517,855 ","$3,873,736 ","$4,069,601 ","$4,015,106 ","$3,871,688 "
Wharton,"41,700","41,662","41,279","41,279","41,141","$861,868 ","$537,231 ","$221,472 ","$228,435 ","$326,368 ","$59,055 ","$41,200 ","$25,885 ","$33,100 ","$43,249 ","$974,700 ","$658,775 ","$294,676 ","$336,662 ","$451,512 "
Wheeler,"4,910","4,888","5,168","5,168","5,059","$152,156 ","$92,394 ","$70,103 ","$24,620 ","$60,365 ","$36,809 ","$47,449 ","$18,500 ","$16,879 ","$26,810 ","$192,732 ","$144,504 ","$91,089 ","$48,296 ","$90,430 "
Wichita,"129,354","130,423","132,756","132,756","133,814","$935,725 ","$993,780 ","$588,577 ","$712,897 ","$934,931 ","$167,318 ","$212,514 ","$163,517 ","$213,853 ","$244,323 ","$3,138,230 ","$2,871,378 ","$2,603,932 ","$2,381,709 ","$2,588,164 "
Wilbarger,"12,198","12,782","12,393","12,393","12,548","$110,447 ","$172,758 ","$87,106 ","$116,909 ","$95,587 ","$2,250 ","$5,040 ","$3,000 ","$1,489 ","$4,272 ","$125,992 ","$192,543 ","$105,351 ","$131,343 ","$120,379 "
Willacy,"20,134","19,981","21,502","21,502","21,475","$19,046 ","$22,310 ","$12,345 ","$16,970 ","$601,854 ","$7,374 ","$7,288 ","$3,135 ","$4,340 ","$6,384 ","$491,861 ","$253,002 ","$173,391 ","$176,622 ","$810,390 "
Williamson,"683,163","663,405","602,686","602,686","571,610","$2,312,375 ","$1,680,499 ","$1,125,726 ","$1,501,287 ","$1,837,873 ","$1,204,608 ","$728,596 ","$408,790 ","$680,784 ","$1,039,980 ","$3,828,021 ","$2,635,844 ","$1,734,462 ","$2,464,600 ","$3,267,953 "
Wilson,"52,975","51,723","52,839","52,839","51,077","$94,853 ","$68,009 ","$68,100 ","$74,282 ","$252,523 ","$23,600 ","$18,000 ","$24,500 ","$59,058 ","$82,750 ","$151,139 ","$253,917 ","$213,654 ","$153,180 ","$362,102 "
Winkler,"7,643","7,629","8,145","8,145","7,696","$112,709 ","$89,570 ","$58,329 ","$46,125 ","$66,600 ","$7,200 ","$6,800 ","$2,650 ","$5,160 ","$11,075 ","$121,227 ","$98,188 ","$62,297 ","$55,003 ","$90,119 "
Wise,"75,010","72,057","70,078","70,078","69,647","$519,631 ","$525,830 ","$383,317 ","$367,705 ","$391,753 ","$103,795 ","$92,616 ","$103,786 ","$93,250 ","$81,075 ","$700,465 ","$649,392 ","$522,762 ","$502,128 ","$512,793 "
Wood,"48,250","45,156","45,528","45,528","45,229","$131,140 ","$142,682 ","$97,156 ","$97,792 ","$140,391 ","$36,156 ","$26,975 ","$24,015 ","$29,900 ","$65,788 ","$175,749 ","$202,324 ","$151,083 ","$149,651 ","$226,696 "
Yoakum,"7,418","7,588","8,773","8,773","9,109","$17,716 ","$16,563 ","$8,547 ","$10,414 ","$47,870 ","$3,150 ","$4,674 ","$5,217 ","$2,060 ","$7,368 ","$26,848 ","$22,714 ","$16,492 ","$13,951 ","$59,319 "
Young,"18,018","17,834","19,294","19,294","18,304","$72,185 ","$97,974 ","$56,069 ","$92,483 ","$127,454 ","$30,162 ","$40,993 ","$43,593 ","$55,075 ","$67,023 ","$128,095 ","$150,141 ","$110,045 ","$163,572 ","$208,436 "
Zapata,"13,854","13,727","14,280","14,280","13,903","$11,950 ","$16,030 ","$19,050 ","$31,200 ","$29,594 ","$16,350 ","$20,950 ","$17,350 ","$12,725 ","$19,150 ","$32,567 ","$42,797 ","$41,267 ","$48,992 ","$67,332 "
Zavala,"9,674","9,654","12,077","12,077","12,338","$23,051 ","$10,171 ","$10,737 ","$4,794 ","$25,658 ",$713 ,$475 ,"$1,575 ",$550 ,"$6,057 ","$26,027 ","$12,909 ","$14,575 ","$7,607 ","$35,203 "